_ArtistIDpk,ARTIST_nameonlabel,Artist_Last_First,ArtistNameFirst,ArtistNameLast,Artist_yearofbirth,Artist_countryofbirth,Artist_country,Artist_gender,Artist_website,ARTIST_Bio
1442,Andrew Cameron,"Cameron, Andrew",Andrew,Cameron,,,,,,
1217,Julia Margaret Cameron,"Cameron, Julia Margaret",Julia Margaret,Cameron,1815-1879,,UK,,,
1426,John Carson,"Carson, John",John,Carson,,,,,,
970,Tony Carter,"Carter, Tony",Tony,Carter,,,,,,
1196,Ashley Cartwright,"Cartwright, Ashley",Ashley,Cartwright,,,,,,
1105,Pedro Casqueiro,"Casqueiro, Pedro",Pedro,Casqueiro,1959,Portugal,Portugal,,,
940,Lucy Casson and Andy Hazell,Casson & Hazell,,Casson & Hazell,,,UK,,,
1142,Paul Caton,"Caton, Paul",Paul,Caton,,,,,,
815,Maurizio Cattelan,"Cattelan, Maurizio",Maurizio,Cattelan,,,,,,
146,Ergin Çavu_o_lu,"Çavu_o_lu, Ergin",Ergin,Çavu_o_lu,,,,,,
971,Philippe Cazal,"Cazal, Philippe",Philippe,Cazal,,,,,,
1263,Cumbria College Of Art And Design Group,CCAD group,,CCAD Group,,,,,,
862,Jordi Cerdà,"Cerdà, Jordi",Jordi,Cerdà,,,"Spain, Catalan",,,
1439,David Chadwick,"Chadwick, David",David,Chadwick,,,,,,
1178,Helen Chadwick,"Chadwick, Helen",Helen,Chadwick,,,,,,
1183,Marc Camille Chaimowicz,"Chaimowicz, Marc",Marc Camille,Chaimowicz,1947,,,,,
707,Rod Chamberlain,"Chamberlain, Rod",Rod,Chamberlain,,,,,,
1123,Stephen Chambers,"Chambers, Stephen",Stephen,Chambers,,,,,,
1071,Martin Chambi,"Chambi, Martin",Martin,Chambi,1891-1973,Peru,Peru,,,
17,Alice Channer,"Channer, Alice",Alice,Channer,,,,,,
1509,Bob Chaplin,"Chaplin, Bob",Bob,Chaplin,,,,,,
195,Harold Chapman,"Chapman, Harold",Harold,Chapman,,,,,,
1169,Alan Charlton,"Charlton, Alan",Alan,Charlton,,,,,,
242,Jane Chavez-Dawson,"Chavez-Dawson, Jane",Jane,Chavez-Dawson,,,,,,
1375,Sharon Chazan,"Chazan, Sharon",Sharon,Chazan,,,,,,
941,James Chedburn,"Chedburn, James",James,Chedburn,,,UK,,,
220,Igor Chelkovski,"Chelkovski, Igor",Igor,Chelkovski,,,,,,
575,Wong Hoy Cheong,"CHEONG, WONG HOY",Wong Hoy,Cheong,,,,,,
177,Gordon Cheung,"Cheung, Gordon",Gordon,Cheung,,,,,,
1465,Maria Chevska,"Chevska, Maria",Maria,Chevska,,,,,,
672,Tom Chick,"Chick, Tom",Tom,Chick,,,,,,
266,John Chilver,"Chilver, John",John,Chilver,,,,,,
695,Chinese Communist Party,"Chinese Communist Party, ",,Chinese Communist Party,,,,,,
1285,Marek Chlanda,"Chlanda, Marek",Marek,Chlanda,,,Poland,,,
399,Neha Choksi,"Choksi, Neha",Neha,Choksi,,,,,,
204,Henning Christiansen,"Christiansen, Henning",Henning,Christiansen,,,,,,
154,Evening Chronicle,"Chronicle, Evening",Evening,Chronicle,,,,,,
226,Ivan Chuikov,"Chuikov, Ivan",Ivan,Chuikov,,,,,,
324,Lu Chunsheng,"Chunsheng, Lu",Lu,Chunsheng,1968,China,China,,,
1286,Tomasz Ciecierski,"Ciecierski, Tomasz",Tomasz,Ciecierski,,,Poland,,,
1298,Ewa Ciepielewska (Luxus Group),"Ciepielewska, Ewa",Ewa,Ciepielewska,,,Poland,,,
1240,Johanna Clark,"Clark, Johanna",Johanna,Clark,,,,,,
484,Ruth Claxton,"Claxton, Ruth",Ruth,Claxton,,,,,,
511,Sophie Clements,"Clements, Sophie",Sophie,Clements,,,,,,
90,Chuck Close,"Close, Chuck",Chuck,Close,,,,,,
94,Claude Closky,"Closky, Claude",Claude,Closky,,,,,,
755,Nigel Coates,"Coates, Nigel",Nigel,Coates,,,,,,
1032,Alvin L. Coburn,"Coburn, Alvin",Alvin,Coburn,1882-1966,USA,UK,,,
